INTERJECTION
adieu
adios
adsum
ahem
ahey
ahoy
aiee
alas
alleluia
amen
arrah
attaboy
begorra
bejesus
bingo
blimey
bully
check
checkmate
cheerio
cheero
cheers
crikey
crimine
criminy
cripes
dear
ecce
egad
eureka
faugh
fore
geronimo
gesundheit
glory
golly
gosh
haeremai
hail
hallelujah
hallo
halloa
halloo
heck
heigh
hello
hist
hoicks
holla
hollo
holloa
hooray
hoot
hoots
howdy
hulloo
hurrah
hurray
jeepers
jeez
jiggers
jiminy
jimminy
lawks
looky
lordy
lumme
lummy
mate
ochone
odzooks
okzookers
oons
oops
ouch
phew
phooey
pish
poof
posh
prosit
prost
pshaw
pugh
rats
righto
roger
shoo
shoot
thankee
touche
tush
umph
waesucks
waly
welcome
well
welladay
wellaway
whee
whillikers
whillikins
whoopee
whoops
wilco
wirra
woops
yippee
zooks
zounds
zowie
