CONJUNCTION,SUBORDINATOR,CONJUNCTIVE
after,1,
albeit,1,
although,1,
because,1,
except,1,
lest,1,
like,1,
since,1,
though,1,
unless,1,
until,1,
when,1,
whenever,1,
where,1,
whereas,1,
while,1,
also,,1
anyway,,1
besides,,1
ergo,,1
finally,,1
hence,,1
however,,1
indeed,,1
moreover,,1
next,,1
otherwise,,1
still,,1
then,,1
therefore,,1
thus,,1
