PRONOUN,PERSONAL,RELATIVE,SINGULAR,PLURAL,NOMINATIVECASE,OBJECTIVECASE,COMPOUND,FREE
they,1,,,1,1,,,
them,1,,,1,,1,,
that,,1,1,1,1,1,,
which,,1,1,1,1,1,,
whom,,1,1,1,,1,,
whoever,,1,1,1,1,,,1
whatever,,1,1,1,1,1,,1
whomever,,1,1,1,,1,,1
