ADJECTIVE,POSITIVE,COMPARATIVE,SUPERLATIVE,REGULAR,IRREGULAR
ancient,1,,,,
awful,1,,,,
eighth,1,,,,
eleventh,1,,,,
external,1,,,,
fifth,1,,,,
first,1,,,,
fourth,1,,,,
global,1,,,,
imaginary,1,,,,
internal,1,,,,
local,1,,,,
ninth,1,,,,
second,1,,,,
serious,1,,,,
seventh,1,,,,
sixth,1,,,,
tenth,1,,,,
third,1,,,,
twelfth,1,,,,
well,1,,,,
