PRONOUN,INTERROGATIVE,SINGULAR,PLURAL,NOMINATIVECASE,OBJECTIVECASE,COMPOUND
who,1,1,1,1,,
whom,1,1,1,,1,
which,1,1,1,1,1,
what,1,1,1,1,1,
whose,1,1,1,1,1,
whoever,1,1,1,1,,
whatever,1,1,1,1,1,
whomever,1,1,1,,1,
